Folder;Owner;Title;Name;Type;Views;Size (mb);Creation date;Edit date;Item ID;Acces;Url
Root;agomez_esri_colombia;Tectonic Plates-Exercise;;Web Map;0;0.01731109619140625;2020-12-22 00:33:39;2020-12-22 00:33:39;b6be99fbedad445cbfe14d306ce47f64;private;
Root;agomez_esri_colombia;Bogota Basemapa AG;Bogota.vtpk;Vector Tile Package;0;27.310161590576172;2020-12-22 02:03:42;2020-12-22 02:03:43;afbf73719869444d875870c4e130c916;public;
Root;agomez_esri_colombia;Bogotá-AG;;Web Map;0;0.04269218444824219;2020-12-22 02:19:31;2020-12-22 02:19:31;27e17f92d8ef4c9ab393a24e80a5c978;private;
Root;Alexandra_Gomez_esri_colombia;España 2016;;Vector Tile Service;0;0.090972900390625;2016-09-13 21:01:27;2016-09-13 22:07:06;dfa102b204ef43edb9ba85222c766543;private;https://basemaps.arcgis.com/b2/arcgis/rest/services/World_Basemap/VectorTileServer
Root;Alexandra_Gomez_esri_colombia;Italia 2014;;Vector Tile Service;7;0.090972900390625;2016-09-13 21:36:02;2016-09-13 21:36:02;35b6df68e5dd43dea8afc2ab95fe411b;public;https://basemaps.arcgis.com/b2/arcgis/rest/services/World_Basemap/VectorTileServer
Root;Alexandra_Gomez_esri_colombia;Francia...;;Vector Tile Service;0;0.090972900390625;2016-09-13 22:01:59;2016-09-13 22:07:42;31509e6ceb444321a3a3847e1adcfdd7;private;https://basemaps.arcgis.com/b2/arcgis/rest/services/World_Basemap/VectorTileServer
Root;Alexandra_Gomez_esri_colombia;POI_AEROPUERTO;;Geocoding Service;0;6.389617919921875e-05;2017-10-03 16:56:31;2017-10-03 16:59:02;e9fb9808b21b4136b5e2db55afaca107;private;https://utility.arcgis.com/usrsvcs/servers/e9fb9808b21b4136b5e2db55afaca107/rest/services/World/GeocodeServer
Root;Alexandra_Gomez_esri_colombia;kkk;;Web Map;4;0.000667572021484375;2018-02-22 21:39:54;2018-02-22 21:40:07;e7559568770e48a289640c8430924eda;private;
Root;Alexandra_Gomez_esri_colombia;DIRECCION_CIUDAD_1_enriquecida;DIRECCION_CIUDAD_1_enriquecida;Feature Service;2;0.21215152740478516;2018-11-22 20:51:34;2018-11-22 20:52:07;205d06d605bb4d1f944d35a01fe2c782;private;https://services.arcgis.com/diQdIhSzjZP7X9B2/arcgis/rest/services/DIRECCION_CIUDAD_1_enriquecida/FeatureServer
CCU2016;Alexandra_Gomez_esri_colombia;Calles - Noche;;Web Map;316;0.0005941390991210938;2016-08-22 01:11:15;2016-08-25 16:13:38;703c9a3046f24f5591b50ec2b80c6473;public;
CCU2016;Alexandra_Gomez_esri_colombia;Calles - Lenguaje Local;;Web Map;164;0.0021409988403320312;2016-08-24 02:54:18;2016-09-14 00:09:46;65ac0199412646459739f57f4151cb89;public;
CCU2016;Alexandra_Gomez_esri_colombia;Letras y simbolos;;Web Mapping Application;102;0.00036716461181640625;2016-08-24 03:45:26;2018-05-04 19:03:56;6b6e531bc81b4befbe3556df5928ab60;public;https://esri-colombia.maps.arcgis.com/apps/CompareAnalysis/index.html?appid=6b6e531bc81b4befbe3556df5928ab60
CCU2016;Alexandra_Gomez_esri_colombia;4 Noche - Lenguaje local;;Web Mapping Application;158;0.00031757354736328125;2016-08-24 12:28:16;2016-09-14 00:24:47;e32d31a2aefd444299acc386038c5c1c;public;https://esri-colombia.maps.arcgis.com/apps/CompareAnalysis/index.html?appid=e32d31a2aefd444299acc386038c5c1c
CCU2016;Alexandra_Gomez_esri_colombia;Imagery (WGS84)-CCU;;Web Map;408;0.000568389892578125;2016-08-24 15:18:34;2016-08-24 15:18:37;df3303e8c6ee4cc28488b3c0c0ef32ca;public;
CCU2016;Alexandra_Gomez_esri_colombia;Living Atlas of the World CCU2016;;Web Mapping Application;1026;0.004756927490234375;2016-08-25 12:53:38;2016-09-20 23:07:03;b005567c746d43f9886cf8aec786a642;public;https://esri-colombia.maps.arcgis.com/apps/MapSeries/index.html?appid=b005567c746d43f9886cf8aec786a642
CCU2016;Alexandra_Gomez_esri_colombia;Mapa de puntos con altas temperaturas;;Web Map;286;0.0009489059448242188;2016-08-25 14:46:39;2016-09-14 00:05:50;889d4deaa9cb428fa2949771628d8665;public;
CCU2016;Alexandra_Gomez_esri_colombia;Servicio de Tráfico de HERE;;Web Map;307;0.000728607177734375;2016-08-25 14:53:36;2016-09-13 23:51:59;5c76d331d56148f2a0e55a308d7287c4;public;
CCU2016;Alexandra_Gomez_esri_colombia;Veredas Colombia;;Web Map;1465;0.027602195739746094;2016-08-30 19:57:59;2016-09-13 23:57:46;50094216f3e44bc38169470ff9266897;public;
CCU2016;Alexandra_Gomez_esri_colombia;2 Contenido;;Web Mapping Application;36;0.00024509429931640625;2016-08-31 06:59:28;2018-05-04 19:09:41;a8dc426faf5f476baff60ca28c41bc7f;public;https://esri-colombia.maps.arcgis.com/apps/CompareAnalysis/index.html?appid=a8dc426faf5f476baff60ca28c41bc7f
CCU2016;Alexandra_Gomez_esri_colombia;Sismos Recientes USGS;;Web Map;929;0.019481658935546875;2016-08-31 13:11:35;2016-09-13 23:54:19;c9a6a42666984ecca40525139aa9e088;public;
CCU2016;Alexandra_Gomez_esri_colombia;Imágen mapa base Bogotá;;Web Map;161;0.0003948211669921875;2016-09-07 03:06:19;2016-09-14 00:13:22;c1fef750941f40708fe615891ac6d847;public;
CCU2016;Alexandra_Gomez_esri_colombia;Explore, use y comparte;;Web Mapping Application;78;0.000423431396484375;2016-09-08 14:08:36;2018-05-04 19:04:24;d1e5a4ad68d440708ffb3e9d12510056;public;https://esri-colombia.maps.arcgis.com/apps/CompareAnalysis/index.html?appid=d1e5a4ad68d440708ffb3e9d12510056
CCU2016;Alexandra_Gomez_esri_colombia;Imágen alta resolución;;Web Map;176;0.0061931610107421875;2016-09-12 14:42:51;2016-09-12 16:01:19;72ce434a22824cb28f68dc3dcf26df95;public;
CCU2016;Alexandra_Gomez_esri_colombia;Mapa base de imágenes;;Web Mapping Application;89;0.00027751922607421875;2016-09-12 16:06:19;2018-05-04 19:01:40;595a648435384591aa86c180667d0e84;public;https://esri-colombia.maps.arcgis.com/apps/CompareAnalysis/index.html?appid=595a648435384591aa86c180667d0e84
CCU2016;Alexandra_Gomez_esri_colombia;2016 Vuelta a España;;Web Map;103;0.00067138671875;2016-09-13 22:28:07;2016-09-20 21:54:46;62615521039d4f058d737bb5e03de3a1;public;
CCU2016;Alexandra_Gomez_esri_colombia;2017 Tour de Francia;;Web Map;135;0.0006704330444335938;2016-09-13 22:35:42;2016-09-20 21:55:13;509934ffa6254ac6b42fdaa20d1d1d46;public;
CCU2016;Alexandra_Gomez_esri_colombia;Mapa base vectorial color camisetas NAIRO;;Web Mapping Application;88;0.0002727508544921875;2016-09-20 02:46:04;2016-09-20 21:52:31;bf5e0dcf02544375959e998e7707615f;public;https://esri-colombia.maps.arcgis.com/apps/CompareAnalysis/index.html?appid=bf5e0dcf02544375959e998e7707615f
CCU2016;Alexandra_Gomez_esri_colombia;Servicio Nacional de Aguas;;Web Map;36;0.0012054443359375;2016-09-20 03:15:07;2016-09-20 03:15:11;2e0ba6d234954c1782df4bd1e2b509d2;public;
CCU2016;Alexandra_Gomez_esri_colombia;Servicio nacional de aguas;;Web Mapping Application;28;0.0012750625610351562;2016-09-20 03:16:33;2016-09-20 03:19:54;47ade7d8b78a457888a5f76f167e1ef0;public;https://esri-colombia.maps.arcgis.com/apps/TimeAware/index.html?appid=47ade7d8b78a457888a5f76f167e1ef0
CCU2016;Alexandra_Gomez_esri_colombia;2015 Giro de Italia;;Web Map;27;0.00067138671875;2016-09-20 21:38:29;2016-09-20 21:54:22;e9dd4639992b4f87aa4efd4a9e2299dd;private;
GreenInfrastructure;Alexandra_Gomez_esri_colombia;Green Infrastructure- Medellin;;Web Map;75;0.014253616333007812;2016-07-29 17:46:15;2016-08-29 21:11:13;bb7222a696e04d729d9acdf68cdc7d8a;public;
GreenInfrastructure;Alexandra_Gomez_esri_colombia;Green Infrastructure-Cundinamarca;;Web Map;80;0.010334968566894531;2016-07-29 18:30:47;2016-08-29 21:11:13;ee1618d5db0f4352982658876e3651c5;public;
GreenInfrastructure;Alexandra_Gomez_esri_colombia;Green Infrastucture- Costero;;Web Map;76;0.0078887939453125;2016-07-29 19:13:36;2016-08-29 21:11:13;a41f192fc24843fe8f638c4383239504;public;
GreenInfrastructure;Alexandra_Gomez_esri_colombia;Green Infrastructure-Nacional;;Web Map;80;0.012904167175292969;2016-07-29 19:22:54;2016-08-29 21:11:13;c5885682b4cd48588f3fc087def8201c;public;
